context,answer,question
"In 1911 arsphenamine, the first synthetic anti-infective drug, was developed by Paul Ehrlich and chemist Alfred Bertheim of the Institute of Experimental Therapy in Berlin. The drug was given the commercial name Salvarsan. Ehrlich, noting both the general toxicity of arsenic and the selective absorption of certain dyes by bacteria, hypothesized that an arsenic-containing dye with similar selective absorption properties could be used to treat bacterial infections. Arsphenamine was prepared as part of a campaign to synthesize a series of such compounds, and found to exhibit partially selective toxicity. Arsphenamine proved to be the first effective treatment for syphilis, a disease which prior to that time was incurable and led inexorably to severe skin ulceration, neurological damage, and death.[citation needed]",Institute of Experimental Therapy,What is Amphetamine's market name?
"The Protestant movement began to diverge into several distinct branches in the mid-to-late 16th century. One of the central points of divergence was controversy over the Eucharist. Early Protestants rejected the Roman Catholic dogma of transubstantiation, which teaches that the bread and wine used in the sacrificial rite of the Mass lose their natural substance by being transformed into the body, blood, soul, and divinity of Christ. They disagreed with one another concerning the presence of Christ and his body and blood in Holy Communion.",bread and wine,What two substances are used in a Catholic Mass?
"On 6 June 2005, The Times redesigned its Letters page, dropping the practice of printing correspondents' full postal addresses. Published letters were long regarded as one of the paper's key constituents. Author/solicitor David Green of Castle Morris Pembrokeshire has had more letters published on the main letters page than any other known contributor – 158 by 31 January 2008. According to its leading article, ""From Our Own Correspondents"", removal of full postal addresses was in order to fit more letters onto the page.",David Green of Castle Morris Pembrokeshire,Which author and solicitor has had more letters published on the main letters page of The Times than any other known contributor?
"The late Georgian period saw the birth of the semi-detached house, planned systematically, as a suburban compromise between the terraced houses of the city and the detached ""villas"" further out, where land was cheaper. There had been occasional examples in town centres going back to medieval times. Most early suburban examples are large, and in what are now the outer fringes of Central London, but were then in areas being built up for the first time. Blackheath, Chalk Farm and St John's Wood are among the areas contesting being the original home of the semi. Sir John Summerson gave primacy to the Eyre Estate of St John's Wood. A plan for this exists dated 1794, where ""the whole development consists of pairs of semi-detached houses, So far as I know, this is the first recorded scheme of the kind"". In fact the French Wars put an end to this scheme, but when the development was finally built it retained the semi-detached form, ""a revolution of striking significance and far-reaching effect"".",Sir John Summerson,Who conferred primacy to the Eyre Estate of St John's Wood?
"Through most of Shell's early history, the Shell Oil Company business in the United States was substantially independent with its stock being traded on the NYSE and with little direct involvement from the group's central offices in the running of the American business. However, in 1984, Royal Dutch Shell made a bid to purchase those shares of Shell Oil Company it did not own (around 30%) and despite opposition from some minority shareholders, which led to a court case, Shell completed the buyout for a sum of $5.7 billion.",substantially independent,Shell Oil Company's United States business throughout its early history is described as what?
"The first large, diverse lineage of short-tailed avialans to evolve were the enantiornithes, or ""opposite birds"", so named because the construction of their shoulder bones was in reverse to that of modern birds. Enantiornithes occupied a wide array of ecological niches, from sand-probing shorebirds and fish-eaters to tree-dwelling forms and seed-eaters. While they were the dominant group of avialans during the Cretaceous period, enantiornithes became extinct along with many other dinosaur groups at the end of the Mesozoic era.",end of the Mesozoic era,When did enantiornithes become extinct?
"Arizona, south of the Gila River was legally bought from Mexico in the Gadsden Purchase on June 8, 1854. Tucson became a part of the United States of America, although the American military did not formally take over control until March 1856. In 1857 Tucson became a stage station on the San Antonio-San Diego Mail Line and in 1858 became 3rd division headquarters of the Butterfield Overland Mail until the line shut down in March 1861. The Overland Mail Corporation attempted to continue running, however following the Bascom Affair, devastating Apache attacks on the stations and coaches ended operations in August 1861.[citation needed]","June 8, 1854",What was the date when Arizona was bought?
"The library is based at two public sites: the Reading Room at the RIBA's headquarters, 66 Portland Place, London; and the RIBA Architecture Study Rooms in the Henry Cole Wing of the V&A. The Reading Room, designed by the building's architect George Grey Wornum and his wife Miriam, retains its original 1934 Art Deco interior with open bookshelves, original furniture and double-height central space. The study rooms, opened in 2004, were designed by Wright & Wright. The library is funded entirely by the RIBA but it is open to the public without charge. It operates a free education programme aimed at students, education groups and families, and an information service for RIBA members and the public through the RIBA Information Centre.",Art Deco,What art style was used inthe design of the Reading Room?
"The act of predation can be broken down into a maximum of four stages: Detection of prey, attack, capture and finally consumption. The relationship between predator and prey is one that is typically beneficial to the predator, and detrimental to the prey species. Sometimes, however, predation has indirect benefits to the prey species, though the individuals preyed upon themselves do not benefit. This means that, at each applicable stage, predator and prey species are in an evolutionary arms race to maximize their respective abilities to obtain food or avoid being eaten. This interaction has resulted in a vast array of adaptations in both groups.",obtain food or avoid being eaten,What dilemma has resulted in many predatory adaptations?
"In towns, which expanded greatly during the period, landowners turned into property developers, and rows of identical terraced houses became the norm. Even the wealthy were persuaded to live in these in town, especially if provided with a square of garden in front of the house. There was an enormous amount of building in the period, all over the English-speaking world, and the standards of construction were generally high. Where they have not been demolished, large numbers of Georgian buildings have survived two centuries or more, and they still form large parts of the core of cities such as London, Edinburgh, Dublin and Bristol.",property developers,During the period of Georgian architecture what did landowners turn into?
"In July 1953, an armistice took effect with Korea divided along approximately the same boundary as in 1950. The armistice and boundary remain in effect today, with American soldiers stationed there to guarantee it. The armistice, concluded despite opposition from Secretary Dulles, South Korean President Syngman Rhee, and also within Eisenhower's party, has been described by biographer Ambrose as the greatest achievement of the administration. Eisenhower had the insight to realize that unlimited war in the nuclear age was unthinkable, and limited war unwinnable.",July,In what month in 1953 did the armistice come into being?
"The work of children was important in pre-industrial societies, as children needed to provide their labour for their survival and that of their group. Pre-industrial societies were characterised by low productivity and short life expectancy, preventing children from participating in productive work would be more harmful to their welfare and that of their group in the long run. In pre-industrial societies, there was little need for children to attend school. This is especially the case in non literate societies. Most pre-industrial skill and knowledge were amenable to being passed down through direct mentoring or apprenticing by competent adults.",short life expectancy,Were peopel in pre-industrial societies considered to have long or short lifespans?
"The term ""domestic dog"" is generally used for both of the domesticated and feral varieties. The English word dog comes from Middle English dogge, from Old English docga, a ""powerful dog breed"". The term may possibly derive from Proto-Germanic *dukkōn, represented in Old English finger-docce (""finger-muscle""). The word also shows the familiar petname diminutive -ga also seen in frogga ""frog"", picga ""pig"", stagga ""stag"", wicga ""beetle, worm"", among others. The term dog may ultimately derive from the earliest layer of Proto-Indo-European vocabulary.",Old English docga,Where does the word dog originate?
"In the late 1990s and early 2000s, the IFAB experimented with ways of creating a winner without requiring a penalty shootout, which was often seen as an undesirable way to end a match. These involved rules ending a game in extra time early, either when the first goal in extra time was scored (golden goal), or if one team held a lead at the end of the first period of extra time (silver goal). Golden goal was used at the World Cup in 1998 and 2002. The first World Cup game decided by a golden goal was France's victory over Paraguay in 1998. Germany was the first nation to score a golden goal in a major competition, beating Czech Republic in the final of Euro 1996. Silver goal was used in Euro 2004. Both these experiments have been discontinued by IFAB.",1996,What year did the Czech Republic lose in the final of Euro?
"From 1904 to 1907, the Herero and the Namaqua took up arms against the Germans and in calculated punitive action by the German occupiers, the 'first genocide of the Twentieth Century' was committed. In the Herero and Namaqua genocide, 10,000 Nama (half the population) and approximately 65,000 Hereros (about 80% of the population) were systematically murdered. The survivors, when finally released from detention, were subjected to a policy of dispossession, deportation, forced labour, racial segregation and discrimination in a system that in many ways anticipated apartheid.","65,000",How many Herero's were killed in the war against German occupiers?
"In 1995, Oklahoma City was the site of one of the most destructive acts of domestic terrorism in American history. The Oklahoma City bombing of April 19, 1995, in which Timothy McVeigh and Terry Nichols detonated an explosive outside of the Alfred P. Murrah Federal Building, killed 168 people, including 19 children. The two men were convicted of the bombing: McVeigh was sentenced to death and executed by the federal government on June 11, 2001; his partner Nichols is serving a sentence of life in prison without the possibility of parole. McVeigh's army buddy, Michael Fortier, was sentenced to 12 years in federal prison and ordered to pay a $75,000 fine for his role in the bombing plot (i.e. assisting in the sale of guns to raise funds for the bombing, and examining the Murrah Federal building as a possible target before the terrorist attack). His wife, Lori Fortier, who has since died, was granted immunity from prosecution in return for her testimony in the case.",19,How many children died in the Oklahoma City Bombing?
"The Arabic term ijāzat al-tadrīs was awarded to Islamic scholars who were qualified to teach. According to Makdisi, the Latin title licentia docendi 'licence to teach' in the European university may have been a translation of the Arabic, but the underlying concept was very different. A significant difference between the ijāzat al-tadrīs and the licentia docendi was that the former was awarded by the individual scholar-teacher, while the latter was awarded by the chief official of the university, who represented the collective faculty, rather than the individual scholar-teacher.",individual scholar-teacher,Who awarded a teaching license in Islamic schools?
"Increasing state control over the oil sector, the RCC began a program of nationalization, starting with the expropriation of British Petroleum's share of the British Petroleum-N.B. Hunt Sahir Field in December 1971. In September 1973, it was announced that all foreign oil producers active in Libya were to be nationalized. For Gaddafi, this was an important step towards socialism. It proved an economic success; while gross domestic product had been $3.8 billion in 1969, it had risen to $13.7 billion in 1974, and $24.5 billion in 1979. In turn, the Libyans' standard of life greatly improved over the first decade of Gaddafi's administration, and by 1979 the average per-capita income was at $8,170, up from $40 in 1951; this was above the average of many industrialized countries like Italy and the U.K.",British Petroleum,What company's property did Libya nationalize in December of 1971?
"Apollo 11 was prepared with the goal of a July landing in the Sea of Tranquility. The crew, selected in January 1969, consisted of commander (CDR) Neil Armstrong, Command Module Pilot (CMP) Michael Collins, and Lunar Module Pilot (LMP) Edwin ""Buzz"" Aldrin. They trained for the mission until just before the actual launch day. On July 16, 1969, at exactly 9:32 am EDT, the Saturn V rocket, AS-506, lifted off from Kennedy Space Center Launch Complex 39 in Florida.",January 1969,When was the crew chosen to participate on the Apollo 11 mission?
"Turner Classic Movies also airs regularly scheduled weekly film blocks, which are periodically preempted for special themed month-long or seasonal scheduling events, such as the ""31 Days of Oscar"" film series in the month preceding the Academy Awards and the month-long ""Summer Under the Stars"" in August; all featured programming has their own distinctive feature presentation bumper for the particular scheduled presentation. The Essentials, currently hosted by Osborne and Sally Field as of 2015[update], is a weekly film showcase airing on Saturday evenings (with a replay on the following Sunday at 6:00 p.m. Eastern Time), which spotlights a different movie and contains a special introduction and post-movie discussion.",August,When does the Summer Under the Stars event take place?
"In January 1950, the Church of Cyprus organised a referendum under the supervision of clerics and with no Turkish Cypriot participation, where 96% of the participating Greek Cypriots voted in favour of enosis, The Greeks were 80.2% of the total island' s population at the time (census 1946). Restricted autonomy under a constitution was proposed by the British administration but eventually rejected. In 1955 the EOKA organisation was founded, seeking union with Greece through armed struggle. At the same time the Turkish Resistance Organisation (TMT), calling for Taksim, or partition, was established by the Turkish Cypriots as a counterweight. The British had also adopted at the time a policy of ""divide and rule"". Woodhouse, a British official in Cyprus, revealed that then British Foreign Secretary Harold Macmillan ""urged the Britons in Cyprus to stir up the Turks in order to neutralise Greek agitation"". British officials also tolerated the creation of the Turkish underground organisation T.M.T. The Secretary of State for the Colonies in a letter dated 15 July 1958 had advised the Governor of Cyprus not to act against T.M.T despite its illegal actions so as not to harm British relations with the Turkish government.",1950,In what year did the Church of Cyprus organize a referendum?
"Despite being eliminated earlier in the season, Chris Daughtry (as lead of the band Daughtry) became the most successful recording artist from this season. Other contestants, such as Hicks, McPhee, Bucky Covington, Mandisa, Kellie Pickler, and Elliott Yamin have had varying levels of success.",Chris Daughtry,Which season five contestant has had the most success after the show?
"In contemporary society, adolescents also face some risks as their sexuality begins to transform. While some of these, such as emotional distress (fear of abuse or exploitation) and sexually transmitted infections/diseases (STIs/STDs), including HIV/AIDS, are not necessarily inherent to adolescence, others such as teenage pregnancy (through non-use or failure of contraceptives) are seen as social problems in most western societies. One in four sexually active teenagers will contract an STI. Adolescents in the United States often chose ""anything but intercourse"" for sexual activity because they mistakenly believe it reduces the risk of STIs. Across the country, clinicians report rising diagnoses of herpes and human papillomavirus (HPV), which can cause genital warts, and is now thought to affect 15 percent of the teen population. Girls 15 to 19 have higher rates of gonorrhea than any other age group. One-quarter of all new HIV cases occur in those under the age of 21. Multrine also states in her article that according to a March survey by the Kaiser Family Foundation, eighty-one percent of parents want schools to discuss the use of condoms and contraception with their children. They also believe students should be able to be tested for STIs. Furthermore, teachers want to address such topics with their students. But, although 9 in 10 sex education instructors across the country believe that students should be taught about contraceptives in school, over one quarter report receiving explicit instructions from school boards and administrators not to do so. According to anthropologist Margaret Mead, the turmoil found in adolescence in Western society has a cultural rather than a physical cause; they reported that societies where young women engaged in free sexual activity had no such adolescent turmoil.",15,What percent of the teenage population is affected by herpes and HPV?
"The Russian Soviet Federative Socialist Republic (Russian SFSR or RSFSR; Russian: Российская Советская Федеративная Социалистическая Республика, tr. Rossiyskaya Sovetskaya Federativnaya Sotsialisticheskaya Respublika  listen (help·info)) commonly referred to as Soviet Russia or simply as Russia, was a sovereign state in 1917–22, the largest, most populous, and most economically developed republic of the Soviet Union in 1922–91 and a sovereign part of the Soviet Union with its own legislation in 1990–91. The Republic comprised sixteen autonomous republics, five autonomous oblasts, ten autonomous okrugs, six krais, and forty oblasts. Russians formed the largest ethnic group. To the west it bordered Finland, Norway and Poland; and to the south, China, Mongolia and North Korea whilst bordering the Arctic Ocean to the north, the Pacific Ocean to the east and the Black sea and Caspian Sea to the south. Within the USSR, it bordered the Baltic republics (Lithuania, Latvia and Estonia), the Byelorussian SSR and the Ukrainian SSR to the west. To the south it bordered the Georgian, Azerbaijan and Kazakh SSRs.",sixteen,How many autonomous republics make up the RSFSR?
"Prince Hall Freemasonry exists because of the refusal of early American lodges to admit African-Americans. In 1775, an African-American named Prince Hall, along with fourteen other African-Americans, was initiated into a British military lodge with a warrant from the Grand Lodge of Ireland, having failed to obtain admission from the other lodges in Boston. When the military Lodge left North America, those fifteen men were given the authority to meet as a Lodge, but not to initiate Masons. In 1784, these individuals obtained a Warrant from the Premier Grand Lodge of England (GLE) and formed African Lodge, Number 459. When the UGLE was formed in 1813, all U.S.-based Lodges were stricken from their rolls – due largely to the War of 1812. Thus, separated from both UGLE and any concordantly recognised U.S. Grand Lodge, African Lodge re-titled itself as the African Lodge, Number 1 – and became a de facto ""Grand Lodge"" (this Lodge is not to be confused with the various Grand Lodges on the Continent of Africa). As with the rest of U.S. Freemasonry, Prince Hall Freemasonry soon grew and organised on a Grand Lodge system for each state.",1775,In what year was Prince Hall admitted into the British military lodge?
"Botany, also called plant science(s) or plant biology, is the science of plant life and a branch of biology. A botanist or plant scientist is a scientist who specializes in this field. The term ""botany"" comes from the Ancient Greek word βοτάνη (botanē) meaning ""pasture"", ""grass"", or ""fodder""; βοτάνη is in turn derived from βόσκειν (boskein), ""to feed"" or ""to graze"". Traditionally, botany has also included the study of fungi and algae by mycologists and phycologists respectively, with the study of these three groups of organisms remaining within the sphere of interest of the International Botanical Congress. Nowadays, botanists study approximately 400,000 species of living organisms of which some 260,000 species are vascular plants and about 248,000 are flowering plants.",A botanist,What is  a plant scientist called?
"Louis XVI and the royal family were brought to Paris and made virtual prisoners within the Tuileries Palace. In 1793, as the revolution turned more and more radical, the king, queen, and the mayor were guillotined, along with more than 16,000 others (throughout France), during the Reign of Terror. The property of the aristocracy and the church was nationalised, and the city's churches were closed, sold or demolished. A succession of revolutionary factions ruled Paris until 9 November 1799 (coup d'état du 18 brumaire), when Napoléon Bonaparte seized power as First Consul.",Tuileries Palace,Where did Louis XVI and his family live?
"(The Ms 6.1 earthquake on August 30, 2008 in southern Sichuan was not part of this series because it was caused by a different fault. See 2008 Panzhihua earthquake for details.)",southern Sichuan,Where did this earthquake occur?
"Founded to preach the Gospel and to combat heresy, the teaching activity of the order and its scholastic organization placed the Preachers in the forefront of the intellectual life of the Middle Ages. The order is famed for its intellectual tradition, having produced many leading theologians and philosophers. The Dominican Order is headed by the Master of the Order, who is currently Bruno Cadoré. Members of the order generally carry the letters O.P., standing for Ordinis Praedicatorum, meaning of the Order of Preachers, after their names.",to combat heresy,What was one reason why the Dominican Order was established?
"New Haven (local /nuː ˈheɪvən/, noo-HAY-vən), in the U.S. state of Connecticut, is the principal municipality in Greater New Haven, which had a total population of 862,477 in 2010. It is located on New Haven Harbor on the northern shore of the Long Island Sound in New Haven County, Connecticut, which in turn comprises the outer limits of the New York metropolitan area. It is the second-largest city in Connecticut (after Bridgeport), with a population of 129,779 people as of the 2010 United States Census. According to a census of 1 July 2012, by the Census Bureau, the city had a population of 130,741.",Bridgeport,What is the largest city in Connecticuty?
"Of his eight encyclicals, Pope Paul VI is best known for his encyclical Humanae vitae (Of Human Life, subtitled On the Regulation of Birth), published on 25 July 1968. In this encyclical he reaffirmed the Catholic Church's traditional view of marriage and marital relations and a continued condemnation of artificial birth control. There were two Papal committees and numerous independent experts looking into the latest advancement of science and medicine on the question of artificial birth control. which were noted by the Pope in his encyclical The expressed views of Paul VI reflected the teachings of his predecessors, especially Pius XI, Pius XII and John XXIII and never changed, as he repeatedly stated them in the first few years of his Pontificate",artificial,What type of birth control is condemned by the Catholic church?
"The fairs held at the shrines of Sufi saints are called urs. They generally mark the death anniversary of the saint. On these occasions devotees assemble in large numbers and pay homage to the memory of the saint. Soul inspiring music is played and devotees dance in ecstasy. The music on these occasions is essentially folk and appealing. It forms a part of the folk music through mystic messages. The most important urs are: urs of Data Ganj Buksh at Lahore, urs of Hazrat Sultan Bahu at Jhang, urs of Hazrat Shah Jewna at Jhang, urs of Hazrat Mian Mir at Lahore, urs of Baba Farid Ganj Shakar at Pakpattan, urs of Hazrat Bahaudin Zakria at Multan, urs of Sakhi Sarwar Sultan at Dera Ghazi Khan, urs of Shah Hussain at Lahore, urs of Hazrat Bulleh Shah at Kasur, urs of Hazrat Imam Bari (Bari Shah Latif) at Rawalpindi-Islamabad and urs of Shah Inayar Qadri (the murrshad of Bulleh Shah) in Lahore.",folk,What genre of music is played at urs?
"Although the advance in the Arakan had been halted to release troops and aircraft for the Battle of Imphal, the Americans and Chinese had continued to advance in northern Burma, aided by the Chindits operating against the Japanese lines of communication. In the middle of 1944 the Chinese Expeditionary Force invaded northern Burma from Yunnan province. They captured a fortified position at Mount Song. By the time campaigning ceased during the monsoon rains, the NCAC had secured a vital airfield at Myitkyina (August 1944), which eased the problems of air resupply from India to China over ""The Hump"".",Chindits,Who aided the Americans and Chinese during the advance in northern Burma?
"A nonstandard dialect, like a standard dialect, has a complete vocabulary, grammar, and syntax, but is usually not the beneficiary of institutional support. Examples of a nonstandard English dialect are Southern American English, Western Australian English, Scouse and Tyke. The Dialect Test was designed by Joseph Wright to compare different English dialects with each other.",institutional support,What does a nonstandard dialect usually not have compared to a standard dialect?
"Rajasthan is[when?] earning Rs. 150 million (approx. US$2.5 million) per day as revenue from the crude oil sector. This earning is expected to reach ₹250 million per day in 2013 (which is an increase of ₹100 million or more than 66 percent). The government of India has given permission to extract 300,000 barrels of crude per day from Barmer region which is now 175,000 barrels per day. Once this limit is achieved Rajasthan will become a leader in Crude extraction in Country. Bombay High leads with a production of 250,000 barrels crude per day. Once the limit if 300,000 barrels per day is reached, the overall production of the country will increase by 15 percent. Cairn India is doing the work of exploration and extraction of crude oil in Rajasthan.","175,000 barrels",How many barrels per day is currently being extracted from the Barmer region?
"In 1979, the committees began the redistribution of land in the Jefara plain, continuing through 1981. In May 1980, measures to redistribute and equalize wealth were implemented; anyone with over 1000 dinar in his bank account saw that extra money expropriated. The following year, the GPC announced that the government would take control of all import, export and distribution functions, with state supermarkets replacing privately owned businesses; this led to a decline in the availability of consumer goods and the development of a thriving black market.",black market,"As a result of the 1981 laws putting the government in control of commerce, what began to thrive?"
"This is a communication-based theory developed by Howard M. Weiss and Russell Cropanzano (1996), that looks at the causes, structures, and consequences of emotional experience (especially in work contexts). This theory suggests that emotions are influenced and caused by events which in turn influence attitudes and behaviors. This theoretical frame also emphasizes time in that human beings experience what they call emotion episodes— a ""series of emotional states extended over time and organized around an underlying theme."" This theory has been utilized by numerous researchers to better understand emotion from a communicative lens, and was reviewed further by Howard M. Weiss and Daniel J. Beal in their article, ""Reflections on Affective Events Theory"", published in Research on Emotion in Organizations in 2005.",Howard M. Weiss,"Along with Cropanzano, who developed a communication-based theory of emotional experience?"
"Only a few towns in western Libya—such as Bani Walid, Sebha and Sirte—remained Gaddafist strongholds. Retreating to Sirte after Tripoli's fall, Gaddafi announced his willingness to negotiate for a handover to a transitional government, a suggestion rejected by the NTC. Surrounding himself with bodyguards, he continually moved residences to escape NTC shelling, devoting his days to prayer and reading the Qur'an. On 20 October, Gaddafi broke out of Sirte's District 2 in a joint civilian-military convoy, hoping to take refuge in the Jarref Valley. At around 8.30am, NATO bombers attacked, destroying at least 14 vehicles and killing at least 53. The convoy scattered, and Gaddafi and those closest to him fled to a nearby villa, which was shelled by rebel militia from Misrata. Fleeing to a construction site, Gaddafi and his inner cohort hid inside drainage pipes while his bodyguards battled the rebels; in the conflict, Gaddafi suffered head injuries from a grenade blast while defence minister Abu-Bakr Yunis Jabr was killed.",western,In what geographic part of Libya is Bani Walid located?
"Whitehead makes the startling observation that ""life is comparatively deficient in survival value."" If humans can only exist for about a hundred years, and rocks for eight hundred million, then one is forced to ask why complex organisms ever evolved in the first place; as Whitehead humorously notes, ""they certainly did not appear because they were better at that game than the rocks around them."" He then observes that the mark of higher forms of life is that they are actively engaged in modifying their environment, an activity which he theorizes is directed toward the three-fold goal of living, living well, and living better. In other words, Whitehead sees life as directed toward the purpose of increasing its own satisfaction. Without such a goal, he sees the rise of life as totally unintelligible.",survival value,Whitehead observes that life is deficient in what?
"Often, through-hole and surface-mount construction must be combined in a single assembly because some required components are available only in surface-mount packages, while others are available only in through-hole packages. Another reason to use both methods is that through-hole mounting can provide needed strength for components likely to endure physical stress, while components that are expected to go untouched will take up less space using surface-mount techniques. For further comparison, see the SMT page.",through-hole,Which type of construction makes components that use more space?
"The international repertoire of music for mandolin is almost unlimited, and musicians use it to play various types of music. This is especially true of violin music, since the mandolin has the same tuning of the violin. Following its invention and early development in Italy the mandolin spread throughout the European continent. The instrument was primarily used in a classical tradition with Mandolin orchestras, so called Estudiantinas or in Germany Zupforchestern appearing in many cities. Following this continental popularity of the mandolin family local traditions appeared outside of Europe in the Americas and in Japan. Travelling mandolin virtuosi like Giuseppe Pettine, Raffaele Calace and Silvio Ranieri contributed to the mandolin becoming a ""fad"" instrument in the early 20th century. This ""mandolin craze"" was fading by the 1930s, but just as this practice was falling into disuse, the mandolin found a new niche in American country, old-time music, bluegrass and folk music. More recently, the Baroque and Classical mandolin repertory and styles have benefited from the raised awareness of and interest in Early music, with media attention to classical players such as Israeli Avi Avital, Italian Carlo Aonzo and American Joseph Brent.",violin,What instrument does the mandolin share the same tuning of?  
"Napoleon instituted lasting reforms, including higher education, a tax code, road and sewer systems, and established the Banque de France, the first central bank in French history. He negotiated the Concordat of 1801 with the Catholic Church, which sought to reconcile the mostly Catholic population to his regime. It was presented alongside the Organic Articles, which regulated public worship in France. His dissolution of the Holy Roman Empire paved the way to German Unification later in the 19th century. The sale of the Louisiana Territory to the United States doubled the size of the country and was a major event in American history.",the Banque de France,"What was the name of the first central bank in France, that Napoleon established?"
"Today, thanks to Paris' cosmopolitan population, every French regional cuisine and almost every national cuisine in the world can be found there; the city has more than 9,000 restaurants. The Michelin Guide has been a standard guide to French restaurants since 1900, awarding its highest award, three stars, to the best restaurants in France. In 2015, of the 29 Michelin three-star restaurants in France, nine are located in Paris. These include both restaurants which serve classical French cuisine, such as L'Ambroisie in the Place des Vosges, and those which serve non-traditional menus, such as L'Astrance, which combines French and Asian cuisines. Several of France's most famous chefs, including Pierre Gagnaire, Alain Ducasse, Yannick Alléno and Alain Passard, have three-star restaurants in Paris.",1900,When was the Michelin guide created?
"A Spanish expedition led by captain Estêvão Gomes, a Portuguese sailing for Emperor Charles V, arrived in New York Harbor in January 1525 aboard the purpose-built caravel ""La Anunciada"" and charted the mouth of the Hudson River, which he named Rio de San Antonio. Heavy ice kept him from further exploration, and he returned to Spain in August. The first scientific map to show the North American East coast continuously, the 1527 world map known as the Padrón Real, was informed by Gomes' expedition, and labeled the Northeast as Tierra de Esteban Gómez in his honor.",Padrón Real,What was the first map to show the whole North American East coast?
Gandhi Smriti in New Delhi is the location where Mahatma Gandhi spent the last 144 days of his life and was assassinated on 30 January 1948. Rajghat is the place where Mahatma Gandhi was cremated on 31 January 1948 after his assassination and his ashes were buried and make it a final resting place beside the sanctity of the Yamuna River. The Raj Ghat in the shape of large square platform with black marble was designed by architect Vanu Bhuta.,New Delhi,In which city is the Gandhi Smriti located?
"In 1854 president Antonio López de Santa Anna enlarged the area of the Federal District almost eightfold from the original 220 to 1,700 km2 (80 to 660 sq mi), annexing the rural and mountainous areas to secure the strategic mountain passes to the south and southwest to protect the city in event of a foreign invasion. (The Mexican–American War had just been fought.) The last changes to the limits of the Federal District were made between 1898 and 1902, reducing the area to the current 1,479 km2 (571 sq mi) by adjusting the southern border with the state of Morelos. By that time, the total number of municipalities within the Federal District was twenty-two.","1,479 km2 (571 sq mi)",What is the current area of Mexico City?
"The modern petroleum industry started in 1846 with the discovery of the process of refining kerosene from coal by Nova Scotian Abraham Pineo Gesner. Ignacy Łukasiewicz improved Gesner's method to develop a means of refining kerosene from the more readily available ""rock oil"" (""petr-oleum"") seeps in 1852 and the first rock oil mine was built in Bóbrka, near Krosno in Galicia in the following year. In 1854, Benjamin Silliman, a science professor at Yale University in New Haven, was the first to fractionate petroleum by distillation. These discoveries rapidly spread around the world.",Bóbrka,Where was the first Rock Oil mine built?
"The government of the Marshall Islands operates under a mixed parliamentary-presidential system as set forth in its Constitution. Elections are held every four years in universal suffrage (for all citizens above 18), with each of the twenty-four constituencies (see below) electing one or more representatives (senators) to the lower house of RMI's unicameral legislature, the Nitijela. (Majuro, the capital atoll, elects five senators.) The President, who is head of state as well as head of government, is elected by the 33 senators of the Nitijela. Four of the five Marshallese presidents who have been elected since the Constitution was adopted in 1979 have been traditional paramount chiefs.",every four years,How often are elections held in the Marshall Islands?
"The majority report of the Financial Crisis Inquiry Commission, written by the six Democratic appointees, the minority report, written by 3 of the 4 Republican appointees, studies by Federal Reserve economists, and the work of several independent scholars generally contend that government affordable housing policy was not the primary cause of the financial crisis. Although they concede that governmental policies had some role in causing the crisis, they contend that GSE loans performed better than loans securitized by private investment banks, and performed better than some loans originated by institutions that held loans in their own portfolios. Paul Krugman has even claimed that the GSE never purchased subprime loans – a claim that is widely disputed.",GSE loans,"According to reports, which loans performed better than some loans securitized by private investment banks?"
"On 7 January 2015, two French Muslim extremists attacked the Paris headquarters of Charlie Hebdo and killed thirteen people, and on 9 January, a third terrorist killed four hostages during an attack at a Jewish grocery store at Porte de Vincennes. On 11 January an estimated 1.5 million people marched in Paris–along with international political leaders–to show solidarity against terrorism and in defence of freedom of speech. Ten months later, 13 November 2015, came a series of coordinated terrorist attacks in Paris and Saint-Denis claimed by the 'Islamic state' organisation ISIL ('Daesh', ISIS); 130 people were killed by gunfire and bombs, and more than 350 were injured. Seven of the attackers killed themselves and others by setting off their explosive vests. On the morning of 18 November three suspected terrorists, including alleged planner of the attacks Abdelhamid Abaaoud, were killed in a shootout with police in the Paris suburb of Saint-Denis. President Hollande declared France to be in a three-month state of emergency.",7 January 2015,On what date did two Muslim extremists attack Charlie Hebdo?
"In terms of impact on events, it was more than Napoleon's personality that took effect. He reorganized France itself to supply the men and money needed for great wars. Above all he inspired his men—Wellington said his presence on the battlefield was worth 40,000 soldiers, for he inspired confidence from privates to field marshals. He also unnerved the enemy. At the Battle of Auerstadt in 1806, King Frederick William III of Prussia outnumbered the French by 63,000 to 27,000; however, when he mistakenly was told that Napoleon was in command, he ordered a hasty retreat that turned into a rout. The force of his personality neutralized material difficulties as his soldiers fought with the confidence that with Napoleon in charge they would surely win.","40,000",How many soldiers did Wellington believe Napoleon's presence on the field was worth?
"There are dozens of other chemical neurotransmitters that are used in more limited areas of the brain, often areas dedicated to a particular function. Serotonin, for example—the primary target of antidepressant drugs and many dietary aids—comes exclusively from a small brainstem area called the Raphe nuclei. Norepinephrine, which is involved in arousal, comes exclusively from a nearby small area called the locus coeruleus. Other neurotransmitters such as acetylcholine and dopamine have multiple sources in the brain, but are not as ubiquitously distributed as glutamate and GABA.",locus coeruleus,Norepinephrine comes from an area of the brain known as what?
